,yr,q
0,1924,61128
1,1925,56779
2,1926,57040
3,1927,52166
4,1928,49798
5,1929,62157
6,1930,57017
7,1931,45536
8,1932,48874
9,1933,53900
10,1934,49463
11,1935,41290
12,1936,48111
13,1937,57786
14,1938,51665
15,1939,67320
16,1940,61928
17,1941,53398
18,1942,48675
19,1943,49922
20,1944,44123
21,1945,49069
22,1946,48506
23,1947,46182
24,1948,52478
25,1949,45760
26,1950,49012
27,1951,47210
28,1952,49012
29,1953,43067
30,1954,51026
31,1955,33396
32,1956,47492
33,1957,44915
34,1958,56470
35,1959,41853
36,1960,46658
37,1961,54877
38,1962,46394
39,1963,46658
40,1964,48844
41,1965,36652
42,1966,53522
43,1967,41747
44,1968,49676
45,1969,42592
46,1970,47323
47,1971,40895
48,1972,48562
49,1973,41624
50,1974,52844
51,1975,47830
52,1976,43595
53,1977,44598
54,1978,72141
55,1979,49181
56,1980,47830
57,1981,51491
58,1982,49125
59,1983,38217
60,1984,56207
61,1985,41388
62,1986,40797
63,1987,46985
64,1988,29920
65,1989,36839
66,1990,47661
67,1991,55945
68,1992,41958
69,1993,38027
70,1994,50503
71,1995,50561
72,1996,59035
73,1997,55370
74,1998,31416
75,1999,46552
76,2000,56273
77,2001,58180
78,2002,55554
79,2003,44160
80,2004,53244
81,2005,47591
82,2006,45162
83,2007,40938
84,2008,40231
85,2009,44641
86,2010,32509
87,2011,63152
88,2012,37454
